MARKER	LAYER	RATING	REASON	SIZE_B	SOURCE_PATH
ATO_DIZZINESS_DESCRIPTION.yaml	ATO	1	20 pos, 20 neg	1862	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DIZZINESS_DESCRIPTION.yaml
ATO_DOUBLE_ENTENDRE.yaml	ATO	1	5 pos	518	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_DOUBLE_ENTENDRE.yaml
ATO_EFFICACY_PHRASE.yaml	ATO	1	34 pos	1989	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_EFFICACY_PHRASE.yaml
ATO_EMBODIMENT_BLEND 2.yaml	ATO	1	10 pos	843	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EMBODIMENT_BLEND 2.yaml
ATO_EMBODIMENT_BLEND.yaml	ATO	1	10 pos	843	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EMBODIMENT_BLEND.yaml
ATO_EMOTIONAL_BLACKMAIL 2.yaml	ATO	1	5 pos, desc	612	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_EMOTIONAL_BLACKMAIL 2.yaml
ATO_EMOTIONAL_BLACKMAIL.yaml	ATO	1	5 pos, desc	612	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EMOTIONAL_BLACKMAIL.yaml
ATO_EMOTIONAL_EXCLAMATION.yaml	ATO	1	5 pos	524	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EMOTIONAL_EXCLAMATION.yaml
ATO_EMOTIONAL_GATEKEEPING.yaml	ATO	1	5 pos	1320	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EMOTIONAL_GATEKEEPING.yaml
ATO_EMOTIONAL_GRANULARITY.yaml	ATO	1	21 pos	1572	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EMOTIONAL_GRANULARITY.yaml
ATO_EMOTIONAL_INTENSITY.yaml	ATO	1	34 pos	2006	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_EMOTIONAL_INTENSITY.yaml
ATO_EMOTIONAL_INVALIDATION 2 2.yaml	ATO	1	10 pos, desc	1037	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_EMOTIONAL_INVALIDATION 2 2.yaml
ATO_EMOTIONAL_INVALIDATION 2.yaml	ATO	1	10 pos, desc	1037	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EMOTIONAL_INVALIDATION 2.yaml
ATO_EMOTIONAL_REGULATION 2.yaml	ATO	1	5 pos, desc	577	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_EMOTIONAL_REGULATION 2.yaml
ATO_EMOTIONAL_REGULATION.yaml	ATO	1	5 pos, desc	577	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EMOTIONAL_REGULATION.yaml
ATO_EMO_HIGH_VALENCE.yaml	ATO	1	34 pos	1582	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_EMO_HIGH_VALENCE.yaml
ATO_EMPATHY_MARKERS.yaml	ATO	1	20 pos, 20 neg, desc	1687	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EMPATHY_MARKERS.yaml
ATO_ENERGY_SURGE 2.yaml	ATO	1	5 pos, desc	521	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_ENERGY_SURGE 2.yaml
ATO_ENERGY_SURGE.yaml	ATO	1	5 pos, desc	521	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ENERGY_SURGE.yaml
ATO_ESCALATION_LEXICON.yaml	ATO	1	20 pos, 20 neg, desc	1421	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ESCALATION_LEXICON.yaml
ATO_EXAMPLE_EMOTION.yaml	ATO	1	5 pos, desc	729	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EXAMPLE_EMOTION.yaml
ATO_EXAMPLE_SIGNAL.yaml	ATO	1	5 pos, desc	639	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_EXAMPLE_SIGNAL.yaml
ATO_EXPRESSIVE_APHASIA.yaml	ATO	1	5 pos, 5 neg, desc	835	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_EXPRESSIVE_APHASIA.yaml
ATO_F0_RISE_FINAL.yaml	ATO	1	8 pos, desc	824	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_F0_RISE_FINAL.yaml
ATO_F0_VARIANCE_LOW.yaml	ATO	1	8 pos, desc	776	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_F0_VARIANCE_LOW.yaml
ATO_FALLING_INTONATION 2.yaml	ATO	1	5 pos, desc	542	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_FALLING_INTONATION 2.yaml
ATO_FALLING_INTONATION.yaml	ATO	1	5 pos, desc	542	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_FALLING_INTONATION.yaml
ATO_FEAR_ANXIETY.yaml	ATO	1	50 pos, desc	3146	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_FEAR_ANXIETY.yaml
ATO_FEELING_CONNECTION_MARKER.yaml	ATO	1	14 pos, desc	1875	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_FEELING_CONNECTION_MARKER.yaml
ATO_FEELING_WORD 2.yaml	ATO	1	5 pos, desc	609	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_FEELING_WORD 2.yaml
ATO_FEELING_WORD.yaml	ATO	1	34 pos	1680	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_FEELING_WORD.yaml
ATO_FEIGNED_FORGETFULNESS.yaml	ATO	1	5 pos	606	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_FEIGNED_FORGETFULNESS.yaml
ATO_FILLER.yaml	ATO	1	8 pos, desc	847	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_FILLER.yaml
ATO_FINANCIAL_TERM.yaml	ATO	1	7 pos	541	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_FINANCIAL_TERM.yaml
ATO_FIRSTTIME_CLAUSE_MARKER.yaml	ATO	1	21 pos	1787	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_FIRSTTIME_CLAUSE_MARKER.yaml
ATO_FIRST_PERSON_PRONOUN 2.yaml	ATO	1	5 pos, desc	516	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_FIRST_PERSON_PRONOUN 2.yaml
ATO_FIRST_PERSON_PRONOUN.yaml	ATO	1	5 pos, desc	516	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_FIRST_PERSON_PRONOUN.yaml
ATO_FRIENDSHIP_MAINTENANCE.yaml	ATO	1	15 pos	1135	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_FRIENDSHIP_MAINTENANCE.yaml
ATO_FUNDING_NEEDS.yaml	ATO	1	5 pos	731	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_FUNDING_NEEDS.yaml
ATO_FUTURE_FAKING 2.yaml	ATO	1	5 pos, desc	670	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_FUTURE_FAKING 2.yaml
ATO_FUTURE_FAKING.yaml	ATO	1	5 pos, desc	670	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_FUTURE_FAKING.yaml
ATO_GASLIGHTING_INDICATORS 2.yaml	ATO	1	5 pos, desc	564	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_GASLIGHTING_INDICATORS 2.yaml
ATO_GASLIGHTING_INDICATORS.yaml	ATO	1	5 pos, desc	564	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GASLIGHTING_INDICATORS.yaml
ATO_GENERALIZED_ACCUSATION.yaml	ATO	1	5 pos	569	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GENERALIZED_ACCUSATION.yaml
ATO_GIVING_UP_PHRASE.yaml	ATO	1	34 pos	1653	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_GIVING_UP_PHRASE.yaml
ATO_GOTTMAN_CONTEMPT 2.yaml	ATO	1	8 pos, desc	1115	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_GOTTMAN_CONTEMPT 2.yaml
ATO_GOTTMAN_CONTEMPT.yaml	ATO	1	8 pos, desc	1115	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GOTTMAN_CONTEMPT.yaml
ATO_GOTTMAN_CRITICISM 2.yaml	ATO	1	5 pos, desc	1137	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_GOTTMAN_CRITICISM 2.yaml
ATO_GOTTMAN_CRITICISM.yaml	ATO	1	5 pos, desc	1137	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GOTTMAN_CRITICISM.yaml
ATO_GOTTMAN_DEFENSIVENESS 2.yaml	ATO	1	8 pos, desc	1262	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_GOTTMAN_DEFENSIVENESS 2.yaml
ATO_GOTTMAN_DEFENSIVENESS.yaml	ATO	1	8 pos, desc	1262	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GOTTMAN_DEFENSIVENESS.yaml
ATO_GOTTMAN_STONEWALL.yaml	ATO	1	8 pos, desc	1055	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GOTTMAN_STONEWALL.yaml
ATO_GOTTMAN_STONEWALLING 2.yaml	ATO	1	5 pos, desc	1167	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_GOTTMAN_STONEWALLING 2.yaml
ATO_GOTTMAN_STONEWALLING.yaml	ATO	1	5 pos, desc	1167	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GOTTMAN_STONEWALLING.yaml
ATO_GRATITUDE.yaml	ATO	1	10 pos	763	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GRATITUDE.yaml
ATO_GRATITUDE_APPRECIATION.yaml	ATO	1	50 pos, desc	3244	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_GRATITUDE_APPRECIATION.yaml
ATO_GUILT_APPEAL_SUPPORT.yaml	ATO	1	10 pos	961	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GUILT_APPEAL_SUPPORT.yaml
ATO_GUILT_TRIP 2.yaml	ATO	1	5 pos, desc	599	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_GUILT_TRIP 2.yaml
ATO_GUILT_TRIP.yaml	ATO	1	10 pos	800	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_GUILT_TRIP.yaml
ATO_HANDOFF.yaml	ATO	1	6 pos	521	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_HANDOFF.yaml
ATO_HARMONY_CARING.yaml	ATO	1	6 pos	567	LD3.4_ALL_Marker_5.1/spiral_persona/ATO/ATO_HARMONY_CARING.yaml
ATO_HARMONY_PHRASE.yaml	ATO	1	34 pos	1983	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_HARMONY_PHRASE.yaml
ATO_HEDGE_TERM.yaml	ATO	1	8 pos, desc	1287	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_HEDGE_TERM.yaml
ATO_HEDGING_CUE 2.yaml	ATO	1	5 pos, desc	522	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_HEDGING_CUE 2.yaml
ATO_HOLISTIC_FLOW.yaml	ATO	1	7 pos	622	LD3.4_ALL_Marker_5.1/spiral_persona/ATO/ATO_HOLISTIC_FLOW.yaml
ATO_HOPE_OPTIMISM.yaml	ATO	1	50 pos, desc	3258	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_HOPE_OPTIMISM.yaml
ATO_HUMOR_LIGHT.yaml	ATO	1	30 pos, 30 neg, desc	1901	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_HUMOR_LIGHT.yaml
ATO_HUMOR_SUPPRESS.yaml	ATO	1	21 pos, 20 neg, desc	1686	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_HUMOR_SUPPRESS.yaml
ATO_HYPERBOLE_EXTREM.yaml	ATO	1	5 pos	536	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_HYPERBOLE_EXTREM.yaml
ATO_INFLUENCE_DESIRE_STATEMENT.yaml	ATO	1	10 pos	753	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_INFLUENCE_DESIRE_STATEMENT.yaml
ATO_INTEGRAL_THINKING.yaml	ATO	1	7 pos	517	LD3.4_ALL_Marker_5.1/spiral_persona/ATO/ATO_INTEGRAL_THINKING.yaml
ATO_INTENSITY_DIP.yaml	ATO	1	8 pos, desc	778	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_INTENSITY_DIP.yaml
ATO_IRONY 2.yaml	ATO	1	5 pos, desc	578	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_IRONY 2.yaml
ATO_IRONY.yaml	ATO	1	5 pos, desc	578	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_IRONY.yaml
ATO_ISOLATION 2.yaml	ATO	1	5 pos, desc	599	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_ISOLATION 2.yaml
ATO_ISOLATION.yaml	ATO	1	5 pos, desc	599	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ISOLATION.yaml
ATO_JEALOUSY_ENVY.yaml	ATO	1	50 pos, desc	3158	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_JEALOUSY_ENVY.yaml
ATO_JITTER_SHIMMER_HIGH.yaml	ATO	1	8 pos, desc	839	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_JITTER_SHIMMER_HIGH.yaml
ATO_JOINT_PLANNING.yaml	ATO	1	5 pos	649	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_JOINT_PLANNING.yaml
ATO_JOY.yaml	ATO	1	25 pos	1007	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_JOY.yaml
ATO_JOY_EXPRESSION.yaml	ATO	1	32 pos	2177	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_JOY_EXPRESSION.yaml
ATO_JOY_HAPPINESS.yaml	ATO	1	50 pos, desc	3339	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_JOY_HAPPINESS.yaml
ATO_LAUGHTER.yaml	ATO	1	8 pos, desc	760	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_LAUGHTER.yaml
ATO_LAUGHTER_EVENT 2.yaml	ATO	1	5 pos, desc	522	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_LAUGHTER_EVENT 2.yaml
ATO_LEARNED_HELPLESSNESS.yaml	ATO	1	11 pos	752	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LEARNED_HELPLESSNESS.yaml
ATO_LL_ACTS_OF_SERVICE.yaml	ATO	1	10 pos	1073	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LL_ACTS_OF_SERVICE.yaml
ATO_LL_PHYSICAL_TOUCH.yaml	ATO	1	20 pos, 20 neg, desc	1477	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LL_PHYSICAL_TOUCH.yaml
ATO_LL_QUALITY_TIME.yaml	ATO	1	20 pos, 20 neg, desc	1576	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LL_QUALITY_TIME.yaml
ATO_LL_RECEIVING_GIFTS.yaml	ATO	1	10 pos	1172	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LL_RECEIVING_GIFTS.yaml
ATO_LL_WORDS_OF_AFFIRMATION.yaml	ATO	1	10 pos	1075	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LL_WORDS_OF_AFFIRMATION.yaml
ATO_LONELINESS_ISOLATION.yaml	ATO	1	50 pos, desc	3283	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_LONELINESS_ISOLATION.yaml
ATO_LOSS_AND_ATTACHMENT_ANXIETY.yaml	ATO	1	10 pos	1115	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LOSS_AND_ATTACHMENT_ANXIETY.yaml
ATO_LOVE_AFFECTION.yaml	ATO	1	50 pos, desc	3320	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_LOVE_AFFECTION.yaml
ATO_LOVE_BOMBING 2.yaml	ATO	1	5 pos, desc	650	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_LOVE_BOMBING 2.yaml
ATO_LOVE_BOMBING.yaml	ATO	1	5 pos, desc	650	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LOVE_BOMBING.yaml
ATO_LOVE_MOTIVE 2.yaml	ATO	1	10 pos	720	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LOVE_MOTIVE 2.yaml
ATO_LOVE_MOTIVE.yaml	ATO	1	10 pos	720	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LOVE_MOTIVE.yaml
ATO_LOYALTY_CONFLICT.yaml	ATO	1	5 pos	737	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_LOYALTY_CONFLICT.yaml
ATO_MANIPULATION 2.yaml	ATO	1	5 pos, desc	584	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_MANIPULATION 2.yaml
ATO_MANIPULATION.yaml	ATO	1	5 pos, desc	584	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MANIPULATION.yaml
ATO_MINIMIZATION_LANGUAGE 2.yaml	ATO	1	5 pos, desc	602	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_MINIMIZATION_LANGUAGE 2.yaml
ATO_MINIMIZATION_LANGUAGE.yaml	ATO	1	10 pos, desc	755	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MINIMIZATION_LANGUAGE.yaml
ATO_MINIMIZING 2.yaml	ATO	1	5 pos, desc	622	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_MINIMIZING 2.yaml
ATO_MINIMIZING.yaml	ATO	1	5 pos, desc	622	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MINIMIZING.yaml
ATO_MINI_DEADLINE.yaml	ATO	1	6 pos	688	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MINI_DEADLINE.yaml
ATO_MISC 2.yaml	ATO	1	10 pos, desc	965	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_MISC 2.yaml
ATO_MISC.yaml	ATO	1	10 pos, desc	965	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MISC.yaml
ATO_MODAL_VERBS 2.yaml	ATO	1	5 pos, desc	578	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_MODAL_VERBS 2.yaml
ATO_MODAL_VERBS.yaml	ATO	1	5 pos, desc	578	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MODAL_VERBS.yaml
ATO_MORAL_GOOD_INTENT.yaml	ATO	1	10 pos	859	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MORAL_GOOD_INTENT.yaml
ATO_MUST_CHECK.yaml	ATO	1	5 pos	609	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MUST_CHECK.yaml
